url,status,merchant,title,currency,price,selected_option,lists,note,date_saved,last_updated,purchased_on,purchased_price,image_url
https://www.ralphlauren.com/women-clothing-sweaters/cable-knit-wool-cashmere-v-neck-sweater/648896.html,unpurchased,Ralph Lauren,Cable-Knit Wool-Cashmere V-Neck Sweater,USD,$198.00,,"All items,Sweaters & Cardigans",,2024-12-24 09:34:49.342101 +1100 AEDT,2025-06-26 18:23:36.47345 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-1485505_alternate10?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-sweaters/cable-knit-cotton-crewneck-cardigan/638619.html,unpurchased,Ralph Lauren,Cable-Knit Cotton Crewneck Cardigan,USD,$228.00,,"All items,Sweaters & Cardigans",,2024-12-24 09:34:13.254297 +1100 AEDT,2025-09-09 14:47:30.16392 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-1470159_alternate10?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-sweaters/cable-knit-cotton-crewneck-sweater/638616.html,unpurchased,Ralph Lauren,Cable-Knit Cotton Crewneck Sweater,USD,$239.99,,"All items,Sweaters & Cardigans",,2024-12-24 09:33:39.62109 +1100 AEDT,2025-01-19 13:25:18.564478 +1100 AEDT,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-1470146_alternate10?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-blazers/herringbone-wool-blazer-/100035027.html,unpurchased,Ralph Lauren,Herringbone Wool Blazer,USD,$559.99,,"All items,Blazers",,2024-12-24 09:26:25.19073 +1100 AEDT,2025-05-03 14:36:51.155418 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-AI211948666001_lifestyle?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-blazers/glen-plaid-tweed-blazer/100027438.html,unpurchased,Ralph Lauren,Glen Plaid Tweed Blazer,USD,$69.99,,"All items,Blazers",,2024-12-24 09:25:45.626831 +1100 AEDT,2025-06-15 15:31:39.133307 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-AI211941400001_lifestyle?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-blazers/double-breasted-stretch-wool-blazer/100002666.html,unpurchased,Ralph Lauren,Double-Breasted Stretch Wool Blazer,USD,$698.00,,"All items,Blazers",,2024-12-24 09:22:37.967255 +1100 AEDT,2025-06-28 17:15:55.965991 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-AI211952717001_alternate10?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-coats/wool-blend-coat/100044519.html,unpurchased,Ralph Lauren,Wool-Blend Coat,USD,$319.99,,"All items,Coats",,2024-12-24 09:21:23.074692 +1100 AEDT,2025-01-20 13:28:51.865868 +1100 AEDT,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-AI297970138001_alternate10?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-coats/double-breasted-houndstooth-coat/100033417.html,unpurchased,Ralph Lauren,Double-Breasted Houndstooth Coat,USD,$409.99,,"All items,Coats",,2024-12-24 09:20:50.856186 +1100 AEDT,2025-07-01 16:32:47.508455 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-AI200951362001_lifestyle?$rl_4x5_pdp$
https://www.ralphlauren.com/women-clothing-coats/plaid-wool-twill-trench-coat/100022580.html,unpurchased,Ralph Lauren,Plaid Wool Twill Trench Coat,USD,$679.99,,"All items,Coats",,2024-12-24 09:20:19.200762 +1100 AEDT,2025-05-03 14:33:48.102629 +1000 AEST,,,https://dtcralphlauren.scene7.com/is/image/PoloGSI/s7-AI211941392001_lifestyle?$rl_4x5_pdp$
https://www.converse.com/shop/p/run-star-motion-canvas-platform-unisex-high-top-shoe/A03242MP.html,unpurchased,Converse.com,​Run Star Motion Canvas Platform Unisex High Top Shoe. Converse.com,USD,$120.00,,"All items,Shoes",,2024-12-24 09:12:10.337891 +1100 AEDT,2025-01-07 09:45:42.927874 +1100 AEDT,,,https://www.converse.com/dw/image/v2/BCZC_PRD/on/demandware.static/-/Sites-cnv-master-catalog/default/dwca1a158f/images/a_107/171546C_A_107X1.jpg?sw=406
